Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12)
0.0,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,0.0,0.0,0.0,0.0
1e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369434198e-32,3.4071793984049363e-32,1.4947832441873442e-32,2.398872684191511e-34
3.0000000000000002e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6185268785283784e-31,1.1195018023329118e-31,4.911430659472008e-32,7.882010248266092e-34
7e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.5889074263020574e-31,2.482373561693823e-31,1.0890563636216088e-31,1.747750098662584e-33
1.5e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,7.5296685218494155e-31,5.208117080412936e-31,2.284882958969077e-31,3.666848246740205e-33
3.1e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.541119071294413e-30,1.0659604117840325e-30,4.676536149658623e-31,7.505044544518123e-33
6.300000000000001e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.1174235095133565e-30,2.1562578192651763e-30,9.459842531016153e-31,1.518143714656468e-32
1.2700000000000001e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.270032385951243e-30,4.3368526342101256e-30,1.902645529364496e-30,3.0534222376620684e-32
2.55e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2575250138827016e-29,8.698042264030673e-30,3.815968081855756e-30,6.123979294058423e-32
5.11e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5185685644578562e-29,1.742042152339437e-29,7.642613186700272e-30,1.2265093448391752e-31
1e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.927358784111179e-29,3.408152877947854e-29,1.4952103249723703e-29,2.399558119095316e-31
1.023e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.0406556656081653e-29,3.486518004101215e-29,1.529590339583728e-29,2.4547321923220874e-31
2.047e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0084829867908784e-28,6.975469707180928e-29,3.060248381190323e-29,4.911177953752897e-31
4.095e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.017317827251002e-28,1.3953373111564983e-28,6.121564463520288e-29,9.824069742474454e-31
8.191e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.0349875081712492e-28,2.7909179913231613e-28,1.2244196624647303e-28,1.9649854383357294e-30
1e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.926092110901896e-28,3.407276743240196e-28,1.4948259507141615e-28,2.3989416947537403e-30
1.6383e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.070326870011744e-28,5.582079348815892e-28,2.4489460932769684e-28,3.930142791888157e-30
3.2767e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6141005593692734e-27,1.1164402052438981e-27,4.897998949248786e-28,7.860459200496235e-30
6.5535e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.2282363041054714e-27,2.2329047414235676e-27,9.796104638581793e-28,1.5721098823723524e-29
9.999999999999999e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.9259654435809675e-27,3.407189101962788e-27,1.494787499454836e-27,2.3988842163342454e-29
