Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41)
0.0,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369434198e-32,3.407179258467592e-32,1.4947831827946275e-32,2.398872684191511e-34,1.3993734459086082e-39,6.139271622398727e-40
3.0000000000000002e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6185268785283784e-31,1.1195017103740869e-31,4.911430256034168e-32,7.882010248266092e-34,9.195882480329926e-39,4.034378422676595e-39
7e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.5889074263020574e-31,2.4823730619176593e-31,1.0890561443619377e-31,1.747750098662584e-33,4.997761636830138e-38,2.1925967140659036e-38
1.5e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,7.5296685218494155e-31,5.208114869403614e-31,2.2848819889644784e-31,3.666848246740204e-33,2.2110093213446127e-37,9.700045990636245e-38
3.1e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.541119071294413e-30,1.0659594901973123e-30,4.676532106512589e-31,7.50504454451812e-33,9.215867202131011e-37,4.04314603476622e-37
6.300000000000001e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.1174235095133565e-30,2.1562540637521365e-30,9.459826054989187e-31,1.5181437146564648e-32,3.755513039241753e-36,1.6476026965328248e-36
1.2700000000000001e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.270032385951243e-30,4.336837479040543e-30,1.9026388805529992e-30,3.053422237662042e-32,1.515516958231289e-35,6.648811496407532e-36
2.55e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2575250138827016e-29,8.697981382452919e-30,3.815941372149084e-30,6.12397929405821e-32,6.08815777573709e-35,2.670970667228066e-35
5.11e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5185685644578562e-29,1.7420177481584158e-29,7.642506121715977e-30,1.2265093448390035e-31,2.4404181022417124e-34,1.070649843015657e-34
1e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.927358784111179e-29,3.4080584529384705e-29,1.4951688992341424e-29,2.399558119093996e-31,9.442500939218304e-34,4.142573823282326e-34
1.023e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.0406556656081653e-29,3.486420285678637e-29,1.5295474689732804e-29,2.4547321923207133e-31,9.771842258748901e-34,4.287061045258059e-34
2.047e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0084829867908784e-28,6.975078637665739e-29,3.0600768128370787e-29,4.911177953741897e-31,3.910695152643089e-33,1.715683532819662e-33
4.095e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.017317827251002e-28,1.395180849878854e-28,6.120878043262294e-29,9.824069742386431e-31,1.5646127770353217e-32,6.864202582866099e-33
