Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34)
0.0,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369434198e-32,3.407179258467592e-32,1.4947831827946275e-32,2.398872684191512e-34,1.3993734429836278e-39,6.139271622398727e-40,2.924980285789774e-48
3.0000000000000002e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6185268785283784e-31,1.119501710374087e-31,4.91143025603417e-32,7.882010248266095e-34,9.195882452751543e-39,4.034378422676595e-39,2.7578385191026293e-47
7e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.5889074263020574e-31,2.4823730619176624e-31,1.089056144361939e-31,1.7477500986625935e-33,4.997761592286877e-38,2.1925967140659054e-38,4.454326528652329e-46
1.5e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,7.5296685218494155e-31,5.208114869403643e-31,2.2848819889644906e-31,3.666848246740292e-33,2.2110092799185575e-37,9.700045990636287e-38,4.142606463265e-45
3.1e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.541119071294413e-30,1.065959490197336e-30,4.676532106512693e-31,7.50504454451886e-33,9.21586685249599e-37,4.0431460347662925e-37,3.496351877389499e-44
6.300000000000001e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.1174235095133565e-30,2.1562540637523316e-30,9.459826054990042e-31,1.5181437146570716e-32,3.755512753084928e-36,1.6476026965329447e-36,2.861570984921921e-43
1.2700000000000001e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.270032385951243e-30,4.336837479042117e-30,1.90263888055369e-30,3.053422237666944e-32,1.5155167268804174e-35,6.648811496409468e-36,2.313513130955863e-42
2.55e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2575250138827016e-29,8.697981382465574e-30,3.815941372154637e-30,6.123979294097625e-32,6.088155915528023e-35,2.670970667231178e-35,1.8602161620282683e-41
5.11e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5185685644578562e-29,1.7420177481685654e-29,7.642506121760503e-30,1.2265093448706137e-31,2.440416610381598e-34,1.07064984302065e-34,1.4918714953964253e-40
1e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.927358784111179e-29,3.40805845301657e-29,1.4951688992684059e-29,2.3995581193372317e-31,9.442489459623625e-34,4.142573823358949e-34,1.147976933244079e-39
1.023e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.0406556656081653e-29,3.486420285759932e-29,1.529547469008946e-29,2.454732192573903e-31,9.771830309383475e-34,4.287061045338051e-34,1.1949547758314042e-39
2.047e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0084829867908784e-28,6.97507863831647e-29,3.060076813122565e-29,4.911177955768607e-31,3.910685587658075e-33,1.715683532947729e-33,9.56527692571862e-39
4.095e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.017317827251002e-28,1.3951808503995508e-28,6.120878045546673e-29,9.824069758604315e-31,1.5646051233006322e-32,6.864202584915648e-33,7.65420186035533e-38
8.191e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.0349875081712492e-28,2.790292128611227e-28,1.224145086639563e-28,1.9649854512403696e-30,6.258607548791579e-32,2.745776531760548e-32,6.123719667684563e-37
1e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.926092110901896e-28,3.4062363355285524e-28,1.4943695074711572e-28,2.3989417276035097e-30,1.0404027298078433e-31,4.5644789634354084e-32,1.5588407198777968e-36
1.6383e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.070326870011744e-28,5.57957623202014e-28,2.447847936530342e-28,3.9301428951136926e-30,2.5031011410680957e-31,1.0981713690566764e-31,4.898426154425566e-36
3.2767e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6141005593692734e-27,1.1154393238417683e-27,4.893607924963265e-28,7.8604600260207e-30,1.0008688826235445e-30,4.391141225340189e-31,3.9174134756706395e-35
6.5535e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.2282363041054714e-27,2.2289043313564526e-27,9.778554209821727e-28,1.5721105423069216e-29,4.000309984597669e-30,1.7551363591780278e-30,3.131629893036742e-34
9.999999999999999e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.9259654435809675e-27,3.39689059948799e-27,1.490269384291741e-27,2.3988873015074786e-29,1.0298034592036954e-29,4.518552194123226e-30,1.4640275899418977e-33
1.31071e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.456507793577867e-27,4.449857416174919e-27,1.9522225035138972e-27,3.144245801003214e-29,1.5975579964958647e-29,7.009835914058879e-30,2.5015588247142828e-33
2.62143e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2913050772522659e-26,8.867988285821122e-27,3.890526065977601e-27,6.288554759410865e-29,6.369716887543075e-29,2.795370425439261e-29,1.995252078042313e-32
5.24287e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5826136730412243e-26,1.761019651516796e-26,7.725870418982589e-27,1.257743500216028e-28,2.53160388402721e-28,1.1113505783736625e-28,1.5866802053358176e-31
9.999999999999999e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925952776848873e-26,3.3140772375001686e-26,1.4539378442744926e-26,2.399159543432338e-28,9.306600230595926e-28,4.088009733392889e-28,1.1528470460554402e-30
1.0485750000000002e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.165230864619141e-26,3.472659769907614e-26,1.5235104967465204e-26,2.515709405006927e-28,9.998394332364383e-28,4.391956059129331e-28,1.2543625525997739e-30
2.0971510000000003e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0330465247774974e-25,6.755012980184893e-26,2.963530478344021e-26,5.03305058227483e-28,3.900431416302248e-27,1.7154814179308645e-27,9.803097946457644e-30
4.194303e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.066093401408664e-25,1.2802131760874983e-25,5.616496519064665e-26,1.0078137124421866e-27,1.4862116966132498e-26,6.553126662895206e-27,7.495091970022798e-29
8.388607e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.1321871546709973e-25,2.3139144620403247e-25,1.0151506250732488e-25,2.0242183831040855e-27,5.424731153432552e-26,2.4040676838312696e-26,5.505351437394967e-28
9.999999999999999e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951510175664e-25,2.6114972094498717e-25,1.1457048337010669e-25,2.4240089082982557e-27,7.91937911463663e-26,3.52571466478079e-26,1.17065773278993e-27
