Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42),S(52)
0.0,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369434198e-32,3.407179258467592e-32,1.4947831827946275e-32,2.398872667494636e-34,1.3993734429836278e-39,6.139271609566377e-40,2.924980285789774e-48,1.2832349018146137e-48,1.6696875545364775e-42
3.0000000000000002e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6185268785283784e-31,1.119501710374087e-31,4.91143025603417e-32,7.882010138543777e-34,9.195882452751543e-39,4.0343784105775236e-39,2.7578385191026293e-47,1.2099071773147539e-47,1.0972232468161396e-41
7e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.5889074263020574e-31,2.4823730619176637e-31,1.0890561443619395e-31,1.7477500390309005e-33,4.997761592286879e-38,2.1925966945240742e-38,4.454326528652331e-46,1.9541831763497873e-46,5.963169702670772e-41
1.5e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,7.5296685218494155e-31,5.2081148694036545e-31,2.2848819889644963e-31,3.666847982929711e-33,2.2110092799185617e-37,9.700045808893639e-38,4.1426064632650064e-45,1.8174266759916222e-45,2.6381061904907963e-40
3.1e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.541119071294413e-30,1.0659594901973465e-30,4.67653210651274e-31,7.505043444910798e-33,9.215866852496062e-37,4.043145881375862e-37,3.496351877389523e-44,1.5339046146353436e-44,1.0996083872939505e-39
6.300000000000001e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.1174235095133565e-30,2.156254063752417e-30,9.459826054990417e-31,1.518143266561013e-32,3.755512753085048e-36,1.6476025709913725e-36,2.8615709849220033e-43,1.2554162432171202e-43,4.4809632412170164e-39
1.2700000000000001e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.270032385951243e-30,4.336837479042808e-30,1.902638880553993e-30,3.053420429398377e-32,1.5155167268806106e-35,6.648810481435681e-36,2.31351313095613e-42,1.0149746341435885e-42,1.8082707183870696e-38
2.55e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2575250138827016e-29,8.697981382471125e-30,3.815941372157072e-30,6.123972029884152e-32,6.088155915531133e-35,2.670969851126427e-35,1.8602161620291275e-41,8.161061172371677e-42,7.264230772918989e-38
5.11e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5185685644578562e-29,1.7420177481730176e-29,7.642506121780037e-30,1.2265064330268357e-31,2.44041661038659e-34,1.0706491885153273e-34,1.4918714953991824e-40,6.545075128240847e-41,2.911857652291305e-37
