Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42),S(52),S(53)
0.0,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369434198e-32,3.407179258467592e-32,1.4947831827946275e-32,2.398872667494636e-34,1.3993734429836278e-39,6.139271609566377e-40,2.924980285789774e-48,1.2832349018146137e-48,1.6696875510541047e-42,3.4823725923783545e-51
3.0000000000000002e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6185268785283784e-31,1.119501710374087e-31,4.91143025603417e-32,7.882010138543777e-34,9.195882452751543e-39,4.0343784105775236e-39,2.7578385191026293e-47,1.2099071773147539e-47,1.0972232435327595e-41,3.283379863839781e-50
7e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.5889074263020574e-31,2.4823730619176637e-31,1.0890561443619395e-31,1.7477500390309005e-33,4.997761592286879e-38,2.1925966945240742e-38,4.454326528652331e-46,1.9541831763497873e-46,5.963169649639214e-41,5.303155829038691e-49
1.5e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,7.5296685218494155e-31,5.2081148694036545e-31,2.2848819889644963e-31,3.666847982929711e-33,2.2110092799185617e-37,9.700045808893639e-38,4.1426064632650064e-45,1.8174266759916222e-45,2.6381061411704538e-40,4.93203422349488e-48
3.1e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.541119071294413e-30,1.0659594901973465e-30,4.67653210651274e-31,7.5050434449108e-33,9.215866852496062e-37,4.043145881375862e-37,3.496351877389523e-44,1.5339046146353436e-44,1.0996083456676646e-39,4.1626286034965647e-47
6.300000000000001e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.1174235095133565e-30,2.1562540637524174e-30,9.459826054990418e-31,1.5181432665610136e-32,3.755512753085049e-36,1.6476025709913728e-36,2.8615709849220033e-43,1.2554162432171202e-43,4.480962900528648e-39,3.4068836878047278e-46
1.2700000000000001e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.270032385951243e-30,4.33683747904281e-30,1.9026388805539938e-30,3.0534204293983826e-32,1.5155167268806114e-35,6.648810481435684e-36,2.3135131309561305e-42,1.0149746341435889e-42,1.808270442948183e-38,2.7543888918150388e-45
2.55e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2575250138827016e-29,8.69798138247114e-30,3.8159413721570786e-30,6.123972029884199e-32,6.088155915531143e-35,2.6709698511264305e-35,1.8602161620291303e-41,8.161061172371687e-42,7.264228558204706e-38,2.2147143265209135e-44
5.11e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5185685644578562e-29,1.7420177481730302e-29,7.64250612178009e-30,1.2265064330268733e-31,2.4404166103866043e-34,1.0706491885153335e-34,1.4918714953991904e-40,6.545075128240882e-41,2.91185587610824e-37,1.776183135997703e-43
1e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.927358784111179e-29,3.408058453050925e-29,1.4951688992834782e-29,2.399546852731412e-31,9.442489459700455e-34,4.142568787037114e-34,1.1479769332525536e-39,5.036355541861373e-40,1.1266699202706648e-36,1.3667639434763524e-42
1.023e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.0406556656081653e-29,3.4864202857956935e-29,1.5295474690246352e-29,2.454720533003814e-31,9.771830309463684e-34,4.287055802918507e-34,1.1949547758402644e-39,5.242454733411184e-40,1.1659667293732748e-36,1.4226951285216723e-42
2.047e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0084829867908784e-28,6.975078638602728e-29,3.0600768132481507e-29,4.911131293636757e-31,3.9106855877864875e-33,1.7156793365664836e-33,9.565276926002334e-39,4.1964375816221687e-39,4.666290995003768e-36,1.1388486747088611e-41
4.095e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.017317827251002e-28,1.3951808506286066e-28,6.120878046551577e-29,9.82388306624951e-31,1.564605123506141e-32,6.864169005628623e-33,7.654201861263434e-38,3.3580188630138745e-38,1.86698581178303e-35,9.113487022369684e-41
8.191e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.0349875081712492e-28,2.790292130443616e-28,1.2241450874434598e-28,1.9649107685894666e-30,6.258607552079653e-32,2.7457496674807894e-32,6.123719670590455e-37,2.6865722302321584e-37,7.468763224053497e-35,7.291759869824106e-40
